Index,date,time,Sentimiento,Comentarios,Categorias 3,Categoría 2,Categoria 1,tweet
44,2023-01-16,,,,,,,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss"
45,2023-01-16,,,,,,Comentario Positivo,Por eso son mi banco 1 ⭐⭐⭐⭐⭐
46,2023-01-17,,,,,,Agradecimiento,Gracias
47,2023-01-17,,,,,,Agradecimiento,Thanks!
48,2023-01-17,,,,,,Agradecimiento,Muchas gracias!
49,2023-01-17,,,,,,Agradecimiento,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo"
50,2023-01-17,,,,,,Agradecimiento,"Increíble, gracias HeyBanco!!@heybanco"
51,2023-01-17,,,,,,?,Me contestaron que sí.
52,2023-01-18,,,,,,Agradecimiento,Gracias
53,2023-01-18,,,,,,Agradecimiento,Gracias!
54,2023-01-18,,,,,,Agradecimiento,Graciaaas.
55,2023-01-18,,,,,,Comentario positivo,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo."
56,2023-01-18,,,,,,Comentario positivo,"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento"
57,2023-01-18,,,,,,?,🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!
58,2023-01-19,,,,,,Agradecimiento,¡Gracias
59,2023-01-19,,,,,,Solicitud de apoyo,"¡Hola!, me pueden apoyar por favor 😬"
60,2023-01-19,,,,,,Agradecimiento,"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼"
61,2023-01-19,,,,,Caso resuelto,Agradecimiento,"Gracias, ya se ve reflejado. Solucionado. Gracias"
62,2023-01-20,,,,,,Agradecimiento,"Listo, gracias!"
63,2023-01-20,,,,,,Agradecimiento,Muchas gracias!
64,2023-01-20,,,,,,?,Los tkm ♥️
65,2023-01-20,,,,,,Comentario positivo,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii"
66,2023-01-20,,,,,,?,Cof cof también ❤️❤️
67,2023-01-20,,,,,,Comentario positivo,te lo súper recomiendo. Y no te cobran el plástico.
68,2023-01-20,,,,,,Comentario positivo,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼"
69,2023-01-21,,,,,Caso resuelto,Agradecimiento,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!"
70,2023-01-23,,,,,,Agradecimiento,Gracias !
71,2023-01-23,,,,,Caso resuelto,Agradecimiento,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané."
72,2023-01-23,,,,,,Agradecimiento,Gracias ! Este mes me tocó boletoDorado
73,2023-01-23,,,,,,?,Bello!
74,2023-01-23,,,,,,?,Aún hay esperanza.. congrats !!
75,2023-01-24,,,,,,Agradecimiento,Gracias 😊😊😊
76,2023-01-24,,,,,,Agradecimiento,Gracias.
77,2023-01-24,,,,,,Agradecimiento,Muchas gracias 👌👌
78,2023-01-24,,,,,,Agradecimiento,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo
79,2023-01-24,,,,,,Agradecimiento,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.
80,2023-01-24,,,,,,?,No mames que buena suee!
81,2023-01-24,,,,,,?,"segundo premio, espero lleguen más"
82,2023-01-25,,,,,,Agradecimiento,Gracias!!!
83,2023-01-25,,,,,,Agradecimiento,Gracias ☺️
84,2023-01-25,,,,,,?,"Hola, esto nos beneficia a los usuarios de"
85,2023-01-26,,,,,,Agradecimiento,Gracias por el apoyo con el seguimiento
86,2023-01-26,,,,,,Agradecimiento,Gracias tio hey! Esto nos ayuda bastante.
87,2023-01-26,,,,,,Agradecimiento,Muchas gracias Un mes gratis de
88,2023-01-27,,,,,Caso resuelto,Agradecimiento,Muchísimas gracias ya me resolvió. Saludos!
89,2023-01-27,,,,,,Agradecimiento,Vale gracias 😃
90,2023-01-27,,,,,Caso resuelto,Agradecimiento,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias
91,2023-01-27,,,,,,Solicitud de apoyo,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.
92,2023-01-27,,,,,,?,Gracias por ser pae de el FC Barcelona
93,2023-01-27,,,,,,Solicitud de apoyo,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma
94,2023-01-28,,,,,,Agradecimiento,Ok gracias
95,2023-01-28,,,,,,Comentario positivo,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey."
96,2023-01-28,,,,,,Comentario positivo,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien"
97,2023-01-28,,,,,,Agradecimiento,Excelente
98,2023-01-29,,,,,,?,Me gane 2 premios
99,2023-01-29,,,,,,?,Amiga explícame!!!
100,2023-01-30,,,,,,Agradecimiento,Muchas gracias por la información!
101,2023-01-30,,,,,,Agradecimiento,ThankU!
102,2023-01-30,,,,,,Agradecimiento,"Vientos, gracias"
103,2023-01-30,,,,,,?,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...
104,2023-01-31,,,,,,Solicitud de apoyo,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias
105,2023-02-01,,,,,,Agradecimiento,Gracias 👏🏼
106,2023-02-01,,,,,,Agradecimiento,"Gracias, lo checo"
107,2023-02-01,,,,,,?,¿Ya no habrá Viaje Financiero del 2022?😣 estaba muy buena esa información
108,2023-02-01,,,,,Pregunta,Agradecimiento,Gracias por el dato y cómo fue soeo 👀?
109,2023-02-01,,,,,,Solicitud de apoyo,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito"
110,2023-02-02,,,,,,Agradecimiento,Muchas gracias
111,2023-02-02,,,,,Caso resuelto,Agradecimiento,Gracias ya se solucionó. Buenas tardes
112,2023-02-02,,,,,Caso resuelto,Agradecimiento,Lo realizaré.Gracias.
113,2023-02-02,,,,,,?,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*
114,2023-02-03,,,,,Caso resuelto,Agradecimiento,Me funcionó mil gracias
115,2023-02-03,,,,,Comentario positivo,Comentario negativo,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar
116,2023-02-04,,,,,,Comentario positivo,Mmm. te da el rendimiento del 10% Es buena opción.
117,2023-02-04,,,,,Comentario positivo,Agradecimiento,Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️
118,2023-02-05,,,,,Comentario positivo,Agradecimiento,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊
119,2023-02-07,,,,,,Sugerencia,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios"
120,2023-02-08,,,,,,Comentario negativo,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora."
121,2023-02-08,,,,,,Agradecimiento,Gracias por ser el mejor banco ✨
122,2023-02-10,,,,,,?,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES."
123,2023-02-11,,,,,,Agradecimiento,gracias
124,2023-02-11,,,,,Caso resuelto,Agradecimiento,Solucionado. Gracias.
125,2023-02-11,,,,,,Comentario positivo,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco."
126,2023-02-11,,,,,,Comentario positivo,Excelente servicio de atención a clientes en HeyBanco 10/10
127,2023-02-11,,,,,,?,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 🥰🖤
128,2023-02-13,,,,,,Agradecimiento,Ok muchas gracias 😊
129,2023-02-13,,,,,,Agradecimiento,Gracias. Porque tengo una duda
130,2023-02-13,,,,,,?,¡Gracias a ti por formar pae de esta gran familia!
131,2023-02-13,,,,,,Comentario positivo,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato."
132,2023-02-14,,,,,,Comentario positivo,100 % recomendado la vdd
133,2023-02-14,,,,,,?,Para ver si eres fit y viable para seguros de vida! XD
134,2023-02-14,,,,,,?,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?"
135,2023-02-15,,,,,,Agradecimiento,😒 Gracias 😊
136,2023-02-15,,,,,,?,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas)
137,2023-02-15,,,,,,Solicitud de apoyo,hola ocupo ayuda con el cambio de número de celular y con mi token
138,2023-02-16,,,,,,Comentario negativo,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí"
139,2023-02-16,,,,,Solicitud de apoyo,Agradecimiento,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?"
140,2023-02-16,,,,,,?,"Pues más vale, la verdad"
141,2023-02-16,,,,,,?,Ya está todo listo..
142,2023-02-17,,,,,,Comentario positivo,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10
143,2023-02-17,,,,,,?,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.
144,2023-02-17,,,,,Solicitud de apoyo,Agradecimiento,"Gracias por la respuesta, estaré al pendiente"
145,2023-02-18,,,,,,?,Hola buenas tardes
146,2023-02-18,,,,,Caso resuelto,Agradecimiento,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe"
147,2023-02-20,,,,,,Agradecimiento,Gracias
148,2023-02-20,,,,,Agradecimiento,Comentario positivo,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita
149,2023-02-21,,,,,,?,Hola!!!
150,2023-02-23,,,,,,?,Saludos a
151,2023-02-23,,,,,,Comentario positivo,"real esa tarjeta es la neta, en general el banco es 10/10"
152,2023-02-23,,,,,Comentario positivo,Agradecimiento,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación 🥰🤘🏻"
153,2023-02-23,,,,,,Solicitud de apoyo,como puedo inveir con ustedes y como se genera las ganancias para uno
154,2023-02-24,,,,,,Comentario positivo,Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.
155,2023-02-24,,,,,,Comentario positivo,.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado
156,2023-02-24,,,,,,Solicitud de apoyo,"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal🤔"
157,2023-02-25,,,,,,Agradecimiento,"Gracias, hasta ahorita los amo 💙"
158,2023-02-26,,,,,,Agradecimiento,Gracias bro
159,2023-02-26,,,,,,Agradecimiento,"Gracias, ya lo envié."
160,2023-02-26,,,,,Solicitud de apoyo,Agradecimiento,"Gracias por responder, quedo en espera de la solución al problema."
161,2023-02-26,,,,,,Comentario positivo,yo hice varias transferencias hace rato y todo bien
162,2023-02-26,,,,,,?,A veces sólo es cuestión de limpiar el chip antes de pasarla! Así he solucionado el inconveniente
163,2023-02-26,,,,,,Comentario positivo,Estoy muy contesta de compairles esta colaboración que hice con Hey Banco
164,2023-02-26,,,,,,?,"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario."
165,2023-02-26,,,,,,?,“Agradecemos tu comprensión” jaja increíble
166,2023-02-26,,,,,,?,Es correcto. De BBVA a BBVA sin problemas. Ya en Hey avisaron que hasta las 7 aproximadamente.
167,2023-02-27,,,,,,Agradecimiento,Gracias ya les respondí
168,2023-02-27,,,,,,Agradecimiento,Listo!! Gracias
169,2023-02-27,,,,,,Agradecimiento,Perfecto! Gracias ☺️
170,2023-02-27,,,,,,?,Pero que tremenda sabiduría 👏 me quede anonadado con este mensaje yo creía que la cantidad que ponía de garantía se utilizaba para los niños sin alimento o para los indigentes y que con eso ya después te entregaban una tarjeta de crédito 💳 😱 que tremenda explicación
171,2023-02-27,,,,,,Comentario positivo,Esta padrisima la tarjeta!!
172,2023-02-27,,,,,,Comentario positivo,"Está muy bonito, me hace considerar adquirir la tarjeta"
173,2023-02-27,,,,,,Agradecimiento,Gracias. Ya le mande todos mis datos de mi tarjeta.
174,2023-02-27,,,,,,?,"Sí, sin problema:D"
175,2023-02-27,,,,,,,"No es problema de ,es ellos son los que tienen la falla. Dalay."
176,2023-02-27,,,,,,,"Pf…. Sigues con Intermitencias… y solo Hey Banco, BBVA sin problema."
177,2023-02-27,,,,,,,"La primera no había sido la de chichen itza ?Estoy esperando esa, pero este modelo está bonito también."
178,2023-02-27,,,,,,,"Tengo BBVA y Bancoppel, las dos trabajan a la perfección."
179,2023-02-27,,,,,,,Entiendo le agradezco el comentario y como sugerencia me gustaría recibir una notificación correo o texto de que el servicio no estará disponible para no caer en esta situación ya que me sirve de mucha utilidad la tarjeta y me gustaría seguir con ustedes.
180,2023-02-27,,,,,,,Que bien! 👍🏼
181,2023-02-28,,,,,,,"Me siento poderosa !!! Gracias , estoy muy contenta !!!!🐝✨👑"
182,2023-02-28,,,,,,,Esta bien
183,2023-02-28,,,,,,,"Yo la tengo y es una maravilla, Servicio eficiente y la app de primera. ¡¡¡Altamente recomendable!!!!!"
184,2023-02-28,,,,,,,"Ay no, yo ya tengo la mia y ese diseño esta super cool !!!"
185,2023-03-01,,,,,,,"Animense, ya casi un año con la tarjeta de credito heygarantizada y sin problemas, incluyendo en el extranjero"
186,2023-03-02,,,,,,,"Gracias, según recuerdo esto ya lo había hecho el día que la fuí a activar pero volveré a hacerlo tanto para la TDD cómo la TDC, gracias:)"
187,2023-03-02,,,,,,,Mucho exito! heybanco
188,2023-03-02,,,,,,,. recomendadísimas 👌(pd. YoTePresto y 100Ladrillos HechoEnJalisco)
189,2023-03-03,,,,,,,"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria"
190,2023-03-03,,,,,,,¡Manifiesto!✨️ Hoy fui y salí enmoradísima. Me subí y así casi que me voy a dar una vuelta ¡Hermosisimo el carro! ¡Háganme la buena!❤️‍🔥🙏💕
191,2023-03-03,,,,,,,"Se resolvió con la actualización de la app, gracias. También me sirvió el DM 👌🏼"
192,2023-03-03,,,,,,,Ustedes son mi banco y la verdad lo estan haciendo muy bien!
193,2023-03-03,,,,,,,Definitivamente👆🏽
194,2023-03-04,,,,,,,Gracias por secuestrar la plata en Ahorro 🤦‍♂️Bitcoin fixes this... literalmente eso me salva 🙄
195,2023-03-04,,,,,,,Gracias la transferencia fue aplicada al día siguiente
196,2023-03-06,,,,,,,"Gracias, ya lo resolví jajaja, me equivoqué"
197,2023-03-06,,,,,,,Quedó aclarado el tema. Gracias.
198,2023-03-07,,,,,,,Bank run!!!
199,2023-03-07,,,,,,,Les respondí por privado. Saludos!
200,2023-03-07,,,,,,,eso es bueno saberlo
201,2023-03-08,,,,,,,Gracias por la información 🙏
202,2023-03-08,,,,,,,Gracias!
203,2023-03-08,,,,,,,Listo!!!
204,2023-03-08,,,,,,,"Así te da la bienvenida a tu tarjeta de Metal, aún sin beneficios adicionales 🫠"
205,2023-03-08,,,,,,,"Se cayó la app de todo ha sido una buena experiencia con ustedes, no me fallen cuando se les necesita"
206,2023-03-08,,,,,,,La verdad es menos tedioso el proceso de hablar con alguien en me agrada mucho la experiencia.
207,2023-03-09,,,,,,,"Gracias, ya les contesté"
208,2023-03-09,,,,,,,ayuda!!!
209,2023-03-09,,,,,,,"Si gracias, les volví a contestar hace un par de horas"
210,2023-03-09,,,,,,,"Fue más rápido marcar, tuve que hacer una caa de hechos en donde ponía los datos que quería cambiar y ya lo hicieron, por fin pude instalar el Token. el chico que me atendió súper bueno y amable! Se llama Christhian Hernández ❤️"
211,2023-03-10,,,,,,,"me avisan si van a la quiebra, para sacar mi dinero de inversión a 7 días porfas y muchas gracias de antemano los amo ✨❤️‍🔥"
212,2023-03-11,,,,,,,"Yeah, son los mejores a pesar del veto"
213,2023-03-12,,,,,,,Muchas gracias!
214,2023-03-12,,,,,,,"solucionado, muchas gracias 🫶🏼"
215,2023-03-12,,,,,,,Ya se puede
216,2023-03-13,,,,,,,Gracias!
217,2023-03-13,,,,,,,Gracias :)
218,2023-03-13,,,,,,,"Me siguen hablando en horario laboral.El que su personal de DHL descuide su trabajo, no significa que yo tenga que descuidar el mío.Si me van a hablar, que sea después de las 15 hrs o 3 pm.Agradezco que ésta vez si lean mi horario y me hablen cuando puedo atender el teléfono."
219,2023-03-13,,,,,,,Exacto puntos lealtad que solo se cambian en su tiendaPor lo menos en Santander si tienda tenía tecnología y aículos para el hogar Mejor que lo cambien por más cashback
220,2023-03-13,,,,,,,Verdaderamente el mejor banco que hay 💖✨ los tqm mucho 🤠
221,2023-03-13,,,,,,,"Bueno, es que yo si pude ya."
222,2023-03-13,,,,,,,Excelente!!
223,2023-03-13,,,,,,,Excelente
224,2023-03-13,,,,,,,Muy bien excelente
225,2023-03-13,,,,,,,"Me gane un mes de Spotify y no soy usuario 😄, mejor que me cambien mi tarjeta, me gusta más la blanca del negocio. 😁"
226,2023-03-13,,,,,,,es excelente! Yo eh trabajo varios años con ellos y todo perfecto
227,2023-03-14,,,,,,,Super! Ojalá que esto pueda ser corregido en la app entonces. Apareció así hace unos días de repente. Gracias!Cc.
228,2023-03-14,,,,,,,Wooow que emoción
229,2023-03-14,,,,,,Agradecimiento,🥳 Nunca me gano nada.Pero hoy empeze bien mi día 👍🏻
230,2023-03-14,,,,,,,Exito🏳️‍🌈🏳️‍🌈
231,2023-03-15,,,,,,Agradecimiento,"Ya les contesté, gracias"
232,2023-03-15,,,,,,,Listos !!!!!!!!
233,2023-03-15,,,,,,Comentario positivo,"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos fintech mexicano"
234,2023-03-15,,,,,,Comentario positivo,"Cámbiate a HeyBanco, hasta el momento es la mejor que he probado. Te dan 2% de todo lo que gastas, y es dinero gratis si eres como yo que siempre paga a tiempo y nunca paga intereses."
235,2023-03-15,,,,,,,Wwwooowww que maravilla felicidades y por supuesto que ahí estaré para disfrutar de mi Chica Dorada
236,2023-03-15,,,,,,Agradecimiento,En verdad les agradezco ya que no tengo la tarjeta de débito y la necesito
237,2023-03-16,,,,,,Agradecimiento,Muchas gracias por la información ahí nos vemos el 3 de Junio
238,2023-03-16,,,,,,,Pues bueno... xd
239,2023-03-16,,,,,,,Es una DJ increíble
240,2023-03-16,,,,,Solicitud de apoyo,Agradecimiento,Muchas graciasQuedo en esperaSaludos.
241,2023-03-16,,,,,,,Un festival 100% tercermundista. ¡Felicidades!
242,2023-03-16,,,,,,,La Supermana hermosa 💕
243,2023-03-17,,,,,,,Gracias por el seguimiento!
244,2023-03-17,,,,,,,mi primera tdc 💳💓 thx
245,2023-03-17,,,,,,,Gracias por su respuesta
246,2023-03-17,,,,,,,"Gracias, espero su pronta respuesta de agradecimiento"
247,2023-03-17,,,,,,,Estoy sorprendido como permite que se organicen esas cosas. 🤮
248,2023-03-18,,,,,,Agradecimiento,"Gracias, como siempre super buena y rápida, la atención de su pae."
249,2023-03-19,,,,,,Agradecimiento,Muchas gracias :)
250,2023-03-21,,,,,,,"Hola Quiero decirles que muchas gracias por el seguimiento a mi problema sobre el Token, ya quedo resuelto Muy buena atención, al final no fue problema de pae suya sino de mi operadora Saludos."
251,2023-03-22,,,,,,Agradecimiento,Gracias
252,2023-03-22,,,,,,?,Hey ya no nos hagan sufrir más a los de la dinámica de tikitoki jajaja 😭💖
253,2023-03-23,,,,,,Solicitud de Apoyo,Que tal buen dia. Necesito ayuda.
254,2023-03-23,,,,,,Agradecimiento,"Excelente servicio en atención a clientes 🫶🏻, nunca cambien! ❤️"
255,2023-03-23,,,,,,?,OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…
256,2023-03-24,,,,,,Agradecimiento,Saludos bro. Gracias por ver los vídeos.
257,2023-03-24,,,,,,Agradecimiento,Gracias!
258,2023-03-24,,,,,,Agradecimiento,"Gracias, tocayo. Soy tu fan. ;)"
259,2023-03-24,,,,,,Solicitud de apoyo,¡Hola! Permíteme conocer más de tu caso vía mensaje privado para poder dae la atención necesaria y rápida. ¡Saludos!
260,2023-03-24,,,,,,?,OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…
261,2023-03-24,,,,,,?,o fácil
262,2023-03-25,,,,,,Agradecimiento,Gracias
263,2023-03-25,,,,,Solicitud de apoyo,Agradecimiento,"Hola! Ntp después de otros intentos me pudieron asistir, gracias!"
264,2023-03-26,,,,,,?,Si la anualidad es de $999. Si juntas $100k estas libre de la anualidad. Mucho mejor que ese pedazo de metal VISA Standard
265,2023-03-26,,,,,,?,"exacto, todas son duales"
266,2023-03-26,,,,,,?,Por eso Fondeadora Metal es World Elite;)
267,2023-03-28,,,,,,Agradecimiento,Ok gracias
268,2023-03-28,,,,,,?,"Gracias a Dios, JAJAJA."
269,2023-03-28,,,,,,?,igual a mi con amazon.
270,2023-03-28,,,,,,?,This is the oppounity of a lifetime! Gotta watch this web3 developer's MEV strategy video and learn how to make some serious cash with crypto.
271,2023-03-28,,,,,,?,"Ese hombre merece que le mandes además de tan grata felicitación una foto especial, única y sin censura autografiada x la Diosa de TW."
272,2023-03-28,,,,,,Agradecimiento,Que Dios le pague con muchos hijos.
273,2023-03-28,,,,,Solicitud de apoyo,Comentario positivo,Mándamela a mi!! Yo se la hago llegar !! Jajaja. Chido que te resolvió !
274,2023-03-28,,,,,Solicitud de apoyo,Agradecimiento,Le mando un beso tronado y apretón de nalga a Ángel Argüello de que en dos horas me resolvió un asunto que llevaba 59 días estancado. Agradecida con el de abajo 🥺
275,2023-03-29,,,,,,Comentario positivo,"No te había dicho que conozco a Angel, pero es muy tímido, si gustas yo le hago llegar el presente"
276,2023-03-29,,,,,,Agradecimiento,"Gracias, ya recibí el código 👍"
277,2023-03-29,,,,,,?,Ser agradecida. Y si es con el de abajo mejor...
